9 19 18 11 12 17 10 12 12 8 16 6 15 11 11 9 
10 13 10 7 10 15 12 12 14 15 19 15 15 12 18 16 
10 16 19 16 11 7 7 15 9 17 16 16 6 19 18 8 
10 8 9 14 15 16 6 7 9 17 14 16 10 12 12 12 
6 12 6 11 13 7 19 15 16 13 11 15 10 7 17 14 
9 19 8 16 13 6 16 16 17 10 11 19 15 17 9 13 
7 10 17 13 9 16 8 6 9 11 13 13 13 10 7 14 
7 7 11 14 7 19 9 16 9 14 16 16 9 17 10 11 
7 7 18 9 17 6 7 18 9 14 11 16 18 10 9 18 
11 12 12 10 11 15 18 12 7 12 9 11 10 13 14 9 
12 12 12 9 10 13 7 11 7 10 8 18 14 9 16 17 
15 6 19 6 14 17 12 15 10 15 18 12 6 12 15 12 
16 8 13 6 15 12 12 15 16 12 13 8 15 9 19 8 
9 18 8 15 14 12 11 18 6 9 8 6 16 17 11 12 
19 16 11 13 9 15 8 17 7 13 6 14 16 19 16 17 
16 16 13 10 8 16 8 6 17 10 19 13 19 10 18 17 
18 7 10 7 16 10 19 15 17 17 7 11 16 15 6 12 
11 11 16 11 7 16 12 19 18 11 10 16 13 6 13 9 
7 17 9 15 7 8 10 18 17 9 7 13 18 7 18 7 
13 14 11 14 9 15 11 19 18 16 15 9 14 8 12 16 
17 15 11 18 15 14 14 12 15 15 6 14 15 18 13 8 
10 18 16 11 13 6 11 11 14 18 14 8 7 7 18 18 
14 8 15 10 14 7 16 9 15 14 15 10 10 9 10 13 
19 18 18 13 18 7 16 12 6 9 15 19 8 11 15 16 
11 8 6 17 8 15 19 15 9 14 19 12 15 7 19 15 
19 17 6 18 17 16 8 15 17 15 14 19 7 7 14 10 
10 12 8 12 7 7 7 9 13 18 15 9 17 14 18 16 
9 18 14 18 12 15 13 10 10 19 7 9 7 15 14 11 
8 14 15 7 13 14 10 6 10 17 7 7 9 19 17 11 
15 10 9 6 19 17 8 7 16 9 11 17 17 19 6 17 
11 13 18 18 19 7 16 9 16 18 8 6 15 18 11 9 
6 12 7 19 9 9 6 18 10 9 13 19 8 12 16 11 
19 13 9 19 12 18 6 8 14 7 6 7 19 11 10 19 
16 9 16 19 12 14 15 15 18 9 12 18 15 7 10 12 
14 11 11 18 7 10 6 15 11 7 17 10 10 19 7 6 
